timestamp,type,id,message
2026-03-09T21:48:04.372Z,NMEA0183,,"$GPRMC,204804.36,A,4007.2100,N,01505.4357,E,10.0,29.5,090326,2.5,W*47"
2026-03-09T21:48:04.372Z,NMEA0183,,"$GPGGA,204804.36,4007.2100,N,01505.4357,E,1,05,0.9,10.0,M,0.0,M,,*6A"
2026-03-09T21:48:04.372Z,NMEA0183,,"$GPGSA,A,3,28,5,14,19,21,,,,,,,,2.2,1.2,1.9*08"
2026-03-09T21:48:04.373Z,NMEA0183,,"$GPGSV,2,1,5,28,83,153,37,5,1,284,26,14,72,49,23,19,45,315,29*7A"
2026-03-09T21:48:04.373Z,NMEA0183,,"$GPGSV,2,2,5,21,74,43,24*4D"
2026-03-09T21:48:04.373Z,NMEA0183,,"$GPVTG,29.5,T,32.0,M,10.0,N,18.6,K,A*22"
2026-03-09T21:48:04.373Z,NMEA0183,,"$IIHDG,29.5,,,2.5,W*09"
2026-03-09T21:48:04.374Z,NMEA0183,,"$VHW,29.5,T,32.0,M,10.0,N,18.6,K*54"
2026-03-09T21:48:04.374Z,NMEA0183,,"$MTW,17.5,C*10"
2026-03-09T21:48:04.374Z,NMEA0183,,"$WIMWV,99.1,R,10.0,N,A*23"
2026-03-09T21:48:04.374Z,NMEA0183,,"$WIMWV,99.1,R,10.0,N,A*23"
2026-03-09T21:48:05.379Z,NMEA0183,,"$GPRMC,204805.37,A,4007.2124,N,01505.4375,E,10.1,31.2,090326,2.5,W*4E"
2026-03-09T21:48:05.380Z,NMEA0183,,"$GPGGA,204805.37,4007.2124,N,01505.4375,E,1,09,1.8,10.0,M,0.0,M,,*60"
2026-03-09T21:48:05.380Z,NMEA0183,,"$GPGSA,A,3,23,32,18,25,21,19,30,22,26,,,,1.1,1.6,1.1*37"
2026-03-09T21:48:05.380Z,NMEA0183,,"$GPGSV,3,1,9,23,24,177,32,32,8,243,21,18,36,109,34,25,54,182,21*77"
2026-03-09T21:48:05.380Z,NMEA0183,,"$GPGSV,3,2,9,21,32,30,40,19,30,49,30,30,35,17,40,22,90,275,44*7F"
2026-03-09T21:48:05.380Z,NMEA0183,,"$GPGSV,3,3,9,26,21,10,35*40"
2026-03-09T21:48:05.381Z,NMEA0183,,"$GPVTG,31.2,T,33.7,M,10.1,N,18.6,K,A*2B"
2026-03-09T21:48:05.381Z,NMEA0183,,"$IIHDG,31.2,,,2.5,W*07"
2026-03-09T21:48:05.381Z,NMEA0183,,"$VHW,31.2,T,33.7,M,10.1,N,18.6,K*5D"
