timestamp,type,id,message
2026-03-16T19:05:09.723Z,NMEA0183,,"$GPRMC,180509.72,A,4004.4066,N,01500.7840,E,4.3,54.1,160326,2.5,W*71"
2026-03-16T19:05:09.724Z,NMEA0183,,"$GPGGA,180509.72,4004.4066,N,01500.7840,E,1,09,1.1,10.0,M,0.0,M,,*6F"
2026-03-16T19:05:09.724Z,NMEA0183,,"$GPGSA,A,3,32,1,14,22,29,17,6,21,10,,,,2.0,1.3,0.9*37"
2026-03-16T19:05:09.724Z,NMEA0183,,"$GPGSV,3,1,9,32,30,266,29,1,28,15,22,14,88,353,41,22,12,306,27*40"
2026-03-16T19:05:09.725Z,NMEA0183,,"$GPGSV,3,2,9,29,6,351,44,17,82,334,46,6,47,256,36,21,55,230,37*46"
2026-03-16T19:05:09.725Z,NMEA0183,,"$GPGSV,3,3,9,10,45,267,26*77"
2026-03-16T19:05:09.725Z,NMEA0183,,"$GPVTG,54.1,T,56.6,M,4.3,N,8.0,K,A*29"
2026-03-16T19:05:09.726Z,NMEA0183,,"$IIHDG,54.1,,,2.5,W*07"
2026-03-16T19:05:09.726Z,NMEA0183,,"$VHW,54.1,T,56.6,M,4.3,N,8.0,K*5F"
2026-03-16T19:05:09.726Z,NMEA0183,,"$MTW,18.2,C*18"
2026-03-16T19:05:09.726Z,NMEA0183,,"$WIMWV,125.6,R,12.1,N,A*11"
2026-03-16T19:05:09.727Z,NMEA0183,,"$WIMWV,125.6,R,12.1,N,A*11"
2026-03-16T19:05:10.723Z,NMEA0183,,"$GPRMC,180510.72,A,4004.4073,N,01500.7853,E,4.4,52.9,160326,2.5,W*76"
2026-03-16T19:05:10.724Z,NMEA0183,,"$GPGGA,180510.72,4004.4073,N,01500.7853,E,1,11,0.9,10.0,M,0.0,M,,*61"
2026-03-16T19:05:10.724Z,NMEA0183,,"$GPGSA,A,3,12,13,28,15,5,27,7,11,16,6,30,,1.9,1.7,1.2*05"
2026-03-16T19:05:10.724Z,NMEA0183,,"$GPGSV,3,1,11,12,10,253,27,13,66,166,23,28,16,335,24,15,5,271,42*47"
2026-03-16T19:05:10.724Z,NMEA0183,,"$GPGSV,3,2,11,5,89,352,43,27,24,217,20,7,31,221,35,11,58,237,36*76"
2026-03-16T19:05:10.724Z,NMEA0183,,"$GPGSV,3,3,11,16,19,146,25,6,38,238,22,30,83,124,37*7D"
2026-03-16T19:05:10.725Z,NMEA0183,,"$GPVTG,52.9,T,55.4,M,4.4,N,8.1,K,A*20"
2026-03-16T19:05:10.725Z,NMEA0183,,"$IIHDG,52.9,,,2.5,W*09"
2026-03-16T19:05:10.725Z,NMEA0183,,"$VHW,52.9,T,55.4,M,4.4,N,8.1,K*56"
2026-03-16T19:05:10.725Z,NMEA0183,,"$MTW,18.2,C*18"
